q_all,Q6_all,LSI_all,Sk_all,zeta_all,label_dbscan_gmm
0.790125944587877,0.04418513303888693,0.00023827474690758883,0.9968343728080932,0.0008897185325622559,0
0.5481537496629879,0.053709101912370875,0.0002607341974449895,0.9987808029352574,0.05054405331611633,0
0.2510048093396221,0.08654068099831783,5.323050409360238e-05,0.9993391524963441,0.018984824419021606,-1
0.9430479298946053,0.0390459209793024,0.0005643128368854635,0.9996405135262459,0.06530413031578064,1
0.7945809457857964,0.10479403896490255,0.0015691850938461815,0.9998416252033381,0.09590792655944824,1
0.5093050005399752,0.014682249182265931,0.0001603564356567549,0.9991306807224813,0.0005843937397003174,0
0.7702886344699078,0.05242336896531078,0.0011694234564790663,0.9995310477896646,0.002623319625854492,0
0.7238692677676958,0.0608337718978128,0.0005130852504514986,0.9996384383142551,0.06399863958358765,1
0.7505314167970271,0.06382194210269869,0.00023829805061708557,0.9989766727957753,0.037844449281692505,1
0.696910265957972,0.07894587725587718,0.0002511553506797526,0.999288057851039,0.0349765419960022,0
0.5249933270505796,0.014927310294188418,0.00017908937369824686,0.9971453271721031,0.047806739807128906,0
0.7123955886083981,0.11913104455119525,0.0003678517133494097,0.9995812429533624,0.02270960807800293,0
0.5540434081883288,0.09447930618290926,0.00012505548575401926,0.999050380353571,-0.0013828873634338379,0
0.5610689895009864,0.09571946371166654,0.00014547319442893126,0.999349213846086,-0.013952523469924927,0
0.9724774394317106,0.04896721045668856,0.0010690375252859208,0.9997493616866484,0.08230102062225342,1
0.8090333065548216,0.045169311840760326,0.0005542865285299431,0.998469620183322,0.043094098567962646,1
0.7153436738200469,0.061690187967049816,0.0001130217420677451,0.9995865034638827,0.003358989953994751,0
0.8745799609644821,0.03569943247085668,0.0010609164167322827,0.9981319581084634,0.08599689602851868,1
0.6587419798568227,0.11848729269595358,0.0002336279020837119,0.9997377810199942,0.021310746669769287,0
0.816839002677596,0.051967613815876924,0.0014748437431050122,0.9992161932261133,0.010819345712661743,1
0.9842402850545148,0.03163915207198687,0.00019998590385733936,0.9997537727412217,0.0439603328704834,1
0.9344294488786766,0.04553899748243198,0.00041589151023828066,0.9995387142499655,0.06491076946258545,1
0.9123613999763098,0.09512889673233607,0.0005620968924547754,0.9996709853982494,0.0048215389251708984,1
0.5468777462685034,0.050875602715717054,0.00036763406908050616,0.9975353265223794,0.00236549973487854,0
0.7701724011636968,0.09179300741835875,0.0012842906655420872,0.9996996353120863,0.09005612134933472,1
0.6977249422320468,0.0666606139998224,5.2609358099451084e-05,0.999167013195131,0.018180012702941895,0
0.6684955823361627,0.07783974137864252,0.00018928949323598898,0.9987466164431433,0.032387107610702515,0
0.7004682375750996,0.05219542408620145,0.00013884945670253278,0.9993000296896144,0.042663007974624634,0
0.7640982515095144,0.05439746509529251,0.0003155669093130734,0.9992770280481897,-0.020068109035491943,0
0.8856952607641132,0.03279214499706754,0.00048541757182553156,0.9998981026087508,0.061158984899520874,1
0.7140163174060516,0.0423878010175997,0.0016319081666957835,0.9997760419405124,0.09941405057907104,1
0.9297626603797127,0.025901809697459623,0.0002294982012739736,0.9992736373609731,0.020287662744522095,1
0.8357214409514626,0.06898228726001411,0.0020050736453535722,0.9995810483996991,0.11128589510917664,1
0.504401540017129,0.008088533698777841,0.00027077129983379906,0.9999574930438362,-0.008267611265182495,0
0.9271209642819,0.1299037739018649,0.0006500108955075946,0.999768145498037,0.07107272744178772,1
0.7737653271311191,0.128385585619494,0.00037777097043188056,0.9997856954156862,-0.0005718767642974854,0
0.8588613204458887,0.11131879601698214,0.0001182479070033065,0.9999214023121857,0.037888288497924805,1
0.615538482677022,0.04562368148979782,0.00031193640924556123,0.9991404011861026,0.01580771803855896,0
0.716629299970081,0.07304614739999556,0.0006660042575658554,0.9969277867529289,0.05977165699005127,1
0.7760901614167471,0.06115687984703742,0.0005659701076171302,0.999324312313187,0.04212459921836853,1
0.6672533187224337,0.023427282718713163,0.0005492310781389231,0.9992457847038891,0.06473737955093384,0
0.6296959229341348,0.032601178358201435,0.0008242805266014987,0.999411024108638,0.012580841779708862,0
0.7402404859135447,0.03385585905287562,0.0006891412017021282,0.999829496162067,0.07219353318214417,1
0.749211454210587,0.030416901219787993,8.976836574081659e-05,0.999162418870818,0.03319805860519409,1
0.9106698754550073,0.05200663244374736,0.00016926336611774675,0.9978956602723807,0.0016197264194488525,1
0.8958750202628516,0.0742157052707885,0.0012267951507413666,0.9990566036334869,0.09333401918411255,1
0.7012724142130047,0.06250511994546015,7.954334063769997e-05,0.9980224694566305,0.02933904528617859,0
0.840727496053397,0.06479945076083563,0.0005718637908749713,0.9995199205403548,0.06856411695480347,1
0.9021517834999225,0.13733863390539197,7.784145688299769e-05,0.9990249233031854,0.016243815422058105,1
0.470738055364188,0.020487283975424805,0.0004887455065388479,0.9964735533881633,0.06257569789886475,0
